"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.122207643E-3,5.082817427E-1,2.378457577E-1,2.933197000E-3,1.600000024E0,8.000000000E2
5.282957631E-3,5.034887378E-1,2.328491004E-1,2.933069000E-3,1.600000024E0,8.000000000E2
9.443832649E-3,5.120906116E-1,2.421242156E-1,2.932625000E-3,1.600000024E0,8.000000000E2
1.360491663E-2,5.054249338E-1,2.351300732E-1,2.932426000E-3,1.600000024E0,8.000000000E2
1.776554165E-2,5.027441760E-1,2.322310729E-1,2.932325000E-3,1.600000024E0,8.000000000E2
2.192637464E-2,5.069398439E-1,2.364766727E-1,2.932070000E-3,1.600000024E0,8.000000000E2
2.608720763E-2,4.985431097E-1,2.278575758E-1,2.932123000E-3,1.600000024E0,8.000000000E2
3.024799965E-2,5.110943685E-1,2.408699144E-1,2.931716000E-3,1.600000024E0,8.000000000E2
3.440899964E-2,5.058101603E-1,2.352605901E-1,2.931503000E-3,1.600000024E0,8.000000000E2
3.856979165E-2,5.098601234E-1,2.398579076E-1,2.931141000E-3,1.600000024E0,8.000000000E2
4.273066664E-2,5.061267275E-1,2.357600305E-1,2.930916000E-3,1.600000024E0,8.000000000E2
4.689162463E-2,4.999355859E-1,2.295585595E-1,2.930918000E-3,1.600000024E0,8.000000000E2
5.105229164E-2,5.090304450E-1,2.388223883E-1,2.930587000E-3,1.600000024E0,8.000000000E2
5.521316663E-2,5.042965081E-1,2.338910381E-1,2.930429000E-3,1.600000024E0,8.000000000E2
5.937399965E-2,5.123493685E-1,2.426734515E-1,2.929976000E-3,1.600000024E0,8.000000000E2
6.353483265E-2,5.061050290E-1,2.357788913E-1,2.929752000E-3,1.600000024E0,8.000000000E2
6.769570764E-2,5.021663885E-1,2.320082204E-1,2.929672000E-3,1.600000024E0,8.000000000E2
7.185654165E-2,5.073414753E-1,2.371812039E-1,2.929403000E-3,1.600000024E0,8.000000000E2
7.601737464E-2,4.982531678E-1,2.277616484E-1,2.929466000E-3,1.600000024E0,8.000000000E2
8.017841665E-2,5.109936330E-1,2.411732053E-1,2.929063000E-3,1.600000024E0,8.000000000E2
8.433904164E-2,5.063241627E-1,2.361492079E-1,2.928831000E-3,1.600000024E0,8.000000000E2
8.849979163E-2,5.100692464E-1,2.403976901E-1,2.928462000E-3,1.600000024E0,8.000000000E2
9.266070765E-2,5.069246444E-1,2.370297606E-1,2.928208000E-3,1.600000024E0,8.000000000E2
9.682154164E-2,5.010859197E-1,2.307239854E-1,2.928168000E-3,1.600000024E0,8.000000000E2
1.009823746E-1,5.104562026E-1,2.405858935E-1,2.927785000E-3,1.600000024E0,8.000000000E2
1.051432916E-1,5.057687550E-1,2.356416304E-1,2.927573000E-3,1.600000024E0,8.000000000E2
1.093042076E-1,5.138537963E-1,2.442640063E-1,2.927066000E-3,1.600000024E0,8.000000000E2
1.134651247E-1,5.074546848E-1,2.377133091E-1,2.926793000E-3,1.600000024E0,8.000000000E2
1.176259166E-1,5.035254260E-1,2.335958753E-1,2.926664000E-3,1.600000024E0,8.000000000E2
1.217866667E-1,5.090025619E-1,2.391997678E-1,2.926334000E-3,1.600000024E0,8.000000000E2
1.259475416E-1,4.978005920E-1,2.275449075E-1,2.926414000E-3,1.600000024E0,8.000000000E2
1.301083326E-1,5.112222008E-1,2.414999163E-1,2.926003000E-3,1.600000024E0,8.000000000E2
