"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.421249665E-3,4.799300617E-1,1.201122945E-1,2.529320000E-3,1.600000024E0,1.600000000E3
6.582124654E-3,5.282106408E-1,1.479937444E-1,2.528428000E-3,1.600000024E0,1.600000000E3
1.074295765E-2,4.523450079E-1,1.057016765E-1,2.529934000E-3,1.600000024E0,1.600000000E3
1.490379166E-2,5.341012533E-1,1.516622217E-1,2.528855000E-3,1.600000024E0,1.600000000E3
1.906462465E-2,4.669373910E-1,1.131343414E-1,2.529900000E-3,1.600000024E0,1.600000000E3
2.322545764E-2,5.028199634E-1,1.328806357E-1,2.529810000E-3,1.600000024E0,1.600000000E3
2.738654165E-2,5.103732872E-1,1.372698103E-1,2.529481000E-3,1.600000024E0,1.600000000E3
3.154712464E-2,4.621726360E-1,1.106661207E-1,2.530677000E-3,1.600000024E0,1.600000000E3
3.570795766E-2,5.367107834E-1,1.531216548E-1,2.529515000E-3,1.600000024E0,1.600000000E3
3.986895765E-2,4.555575356E-1,1.071557596E-1,2.530920000E-3,1.600000024E0,1.600000000E3
4.402983264E-2,5.231815209E-1,1.448325429E-1,2.530186000E-3,1.600000024E0,1.600000000E3
4.819066665E-2,4.914845008E-1,1.263569140E-1,2.530455000E-3,1.600000024E0,1.600000000E3
5.235145765E-2,4.803406032E-1,1.201511825E-1,2.531076000E-3,1.600000024E0,1.600000000E3
5.651237466E-2,5.324494960E-1,1.504788890E-1,2.530049000E-3,1.600000024E0,1.600000000E3
6.067329165E-2,4.535665693E-1,1.061799735E-1,2.531517000E-3,1.600000024E0,1.600000000E3
6.483399964E-2,5.349165185E-1,1.519930239E-1,2.530412000E-3,1.600000024E0,1.600000000E3
6.899487466E-2,4.728634862E-1,1.162205173E-1,2.531270000E-3,1.600000024E0,1.600000000E3
7.315570765E-2,4.958432741E-1,1.288084263E-1,2.531401000E-3,1.600000024E0,1.600000000E3
7.731649966E-2,5.108776982E-1,1.374508348E-1,2.531056000E-3,1.600000024E0,1.600000000E3
8.147741665E-2,4.570865968E-1,1.079957427E-1,2.532413000E-3,1.600000024E0,1.600000000E3
8.563824964E-2,5.347619038E-1,1.518448001E-1,2.531312000E-3,1.600000024E0,1.600000000E3
8.979912466E-2,4.533652556E-1,1.060849284E-1,2.532787000E-3,1.600000024E0,1.600000000E3
9.396012465E-2,5.149584270E-1,1.398629154E-1,2.532313000E-3,1.600000024E0,1.600000000E3
9.812074967E-2,4.914332421E-1,1.262611325E-1,2.532584000E-3,1.600000024E0,1.600000000E3
1.022816667E-1,4.734681085E-1,1.163893476E-1,2.533423000E-3,1.600000024E0,1.600000000E3
1.064424996E-1,5.291737073E-1,1.483574384E-1,2.532499000E-3,1.600000024E0,1.600000000E3
1.106034577E-1,4.487135528E-1,1.036982177E-1,2.534122000E-3,1.600000024E0,1.600000000E3
1.147642916E-1,5.282918267E-1,1.477549196E-1,2.533225000E-3,1.600000024E0,1.600000000E3
1.189251246E-1,4.708514503E-1,1.150569173E-1,2.534147000E-3,1.600000024E0,1.600000000E3
