"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.569041651E-3,5.280916661E-1,2.485217953E-1,3.029638000E-3,1.600000024E0,8.000000000E2
6.730082649E-3,5.153253619E-1,2.354977107E-1,3.029057000E-3,1.600000024E0,8.000000000E2
1.089083267E-2,5.278245757E-1,2.481877367E-1,3.028003000E-3,1.600000024E0,8.000000000E2
1.505162465E-2,5.209869348E-1,2.413366586E-1,3.027208000E-3,1.600000024E0,8.000000000E2
1.921254167E-2,5.209683810E-1,2.414038303E-1,3.026414000E-3,1.600000024E0,8.000000000E2
2.337341665E-2,5.263914279E-1,2.468568905E-1,3.025415000E-3,1.600000024E0,8.000000000E2
2.753424965E-2,5.150410279E-1,2.353828061E-1,3.024846000E-3,1.600000024E0,8.000000000E2
3.169512466E-2,5.278604777E-1,2.485673307E-1,3.023792000E-3,1.600000024E0,8.000000000E2
3.585595766E-2,5.176988293E-1,2.384521499E-1,3.023123000E-3,1.600000024E0,8.000000000E2
4.001712467E-2,5.245270361E-1,2.454021429E-1,3.022196000E-3,1.600000024E0,8.000000000E2
4.417770766E-2,5.234459907E-1,2.442940680E-1,3.021310000E-3,1.600000024E0,8.000000000E2
4.833858265E-2,5.166350274E-1,2.374636500E-1,3.020681000E-3,1.600000024E0,8.000000000E2
5.249962467E-2,5.262414254E-1,2.474893278E-1,3.019690000E-3,1.600000024E0,8.000000000E2
5.666041665E-2,5.132685663E-1,2.343257170E-1,3.019189000E-3,1.600000024E0,8.000000000E2
6.082129167E-2,5.258503811E-1,2.473982019E-1,3.018213000E-3,1.600000024E0,8.000000000E2
6.498216666E-2,5.191840220E-1,2.403798514E-1,3.017489000E-3,1.600000024E0,8.000000000E2
6.914304165E-2,5.190428246E-1,2.404268283E-1,3.016770000E-3,1.600000024E0,8.000000000E2
7.330399967E-2,5.246313355E-1,2.461651636E-1,3.015841000E-3,1.600000024E0,8.000000000E2
7.746479166E-2,5.129667269E-1,2.343823096E-1,3.015352000E-3,1.600000024E0,8.000000000E2
8.162558265E-2,5.267320521E-1,2.484572110E-1,3.014344000E-3,1.600000024E0,8.000000000E2
8.578641666E-2,5.180477870E-1,2.397664205E-1,3.013663000E-3,1.600000024E0,8.000000000E2
8.994737465E-2,5.249370535E-1,2.468009576E-1,3.012723000E-3,1.600000024E0,8.000000000E2
9.410824967E-2,5.239773938E-1,2.458638523E-1,3.011820000E-3,1.600000024E0,8.000000000E2
9.826904166E-2,5.172065779E-1,2.388221154E-1,3.011172000E-3,1.600000024E0,8.000000000E2
1.024299996E-1,5.280049770E-1,2.499521326E-1,3.010117000E-3,1.600000024E0,8.000000000E2
1.065910827E-1,5.148511401E-1,2.368249285E-1,3.009558000E-3,1.600000024E0,8.000000000E2
1.107517077E-1,5.273808575E-1,2.496540161E-1,3.008527000E-3,1.600000024E0,8.000000000E2
1.149124996E-1,5.215735274E-1,2.436801516E-1,3.007715000E-3,1.600000024E0,8.000000000E2
1.190733327E-1,5.194524751E-1,2.416132394E-1,3.006983000E-3,1.600000024E0,8.000000000E2
1.232344166E-1,5.258871218E-1,2.483294072E-1,3.006009000E-3,1.600000024E0,8.000000000E2
1.273952917E-1,5.144968364E-1,2.367539892E-1,3.005464000E-3,1.600000024E0,8.000000000E2
1.315561667E-1,5.273017158E-1,2.501136318E-1,3.004438000E-3,1.600000024E0,8.000000000E2
1.357170416E-1,5.173057410E-1,2.399389905E-1,3.003788000E-3,1.600000024E0,8.000000000E2
1.398779577E-1,5.243380392E-1,2.470391919E-1,3.002874000E-3,1.600000024E0,8.000000000E2
1.440387497E-1,5.234001828E-1,2.462355777E-1,3.001995000E-3,1.600000024E0,8.000000000E2
1.481995826E-1,5.157666166E-1,2.383927120E-1,3.001403000E-3,1.600000024E0,8.000000000E2
1.523604997E-1,5.269794881E-1,2.503195168E-1,3.000390000E-3,1.600000024E0,8.000000000E2
1.565213327E-1,5.138434188E-1,2.368464424E-1,2.999870000E-3,1.600000024E0,8.000000000E2
1.606822077E-1,5.262537422E-1,2.495646411E-1,2.998885000E-3,1.600000024E0,8.000000000E2
1.648431247E-1,5.206560068E-1,2.438949184E-1,2.998110000E-3,1.600000024E0,8.000000000E2
1.690039576E-1,5.192291485E-1,2.425048360E-1,2.997389000E-3,1.600000024E0,8.000000000E2
1.731650417E-1,5.258375927E-1,2.493677343E-1,2.996420000E-3,1.600000024E0,8.000000000E2
1.773256666E-1,5.139478754E-1,2.373754869E-1,2.995897000E-3,1.600000024E0,8.000000000E2
1.814864997E-1,5.274471060E-1,2.512079329E-1,2.994869000E-3,1.600000024E0,8.000000000E2
1.856473747E-1,5.182300751E-1,2.415087145E-1,2.994186000E-3,1.600000024E0,8.000000000E2
1.898082916E-1,5.245187026E-1,2.480671738E-1,2.993268000E-3,1.600000024E0,8.000000000E2
1.939692497E-1,5.242060139E-1,2.478334665E-1,2.992362000E-3,1.600000024E0,8.000000000E2
1.981301667E-1,5.163362279E-1,2.398189561E-1,2.991750000E-3,1.600000024E0,8.000000000E2
2.022910417E-1,5.259882765E-1,2.497504476E-1,2.990778000E-3,1.600000024E0,8.000000000E2
2.064519997E-1,5.131591306E-1,2.366747777E-1,2.990286000E-3,1.600000024E0,8.000000000E2
2.106127077E-1,5.248671885E-1,2.486217321E-1,2.989356000E-3,1.600000024E0,8.000000000E2
2.147735827E-1,5.189619008E-1,2.426847180E-1,2.988647000E-3,1.600000024E0,8.000000000E2
2.189344997E-1,5.175360383E-1,2.414021453E-1,2.987991000E-3,1.600000024E0,8.000000000E2
2.230952917E-1,5.241967371E-1,2.483038969E-1,2.987087000E-3,1.600000024E0,8.000000000E2
2.272562077E-1,5.122601637E-1,2.361795169E-1,2.986629000E-3,1.600000024E0,8.000000000E2
2.314170417E-1,5.253474901E-1,2.497059946E-1,2.985682000E-3,1.600000024E0,8.000000000E2
2.355779576E-1,5.159349633E-1,2.398480026E-1,2.985087000E-3,1.600000024E0,8.000000000E2
2.397389997E-1,5.220675609E-1,2.463628110E-1,2.984263000E-3,1.600000024E0,8.000000000E2
2.438996246E-1,5.217888350E-1,2.460408810E-1,2.983450000E-3,1.600000024E0,8.000000000E2
2.480604997E-1,5.139895428E-1,2.381381623E-1,2.982928000E-3,1.600000024E0,8.000000000E2
2.522214167E-1,5.246132535E-1,2.489620224E-1,2.982010000E-3,1.600000024E0,8.000000000E2
2.563822076E-1,5.120128849E-1,2.361047087E-1,2.981562000E-3,1.600000024E0,8.000000000E2
2.605430827E-1,5.233903294E-1,2.477169091E-1,2.980690000E-3,1.600000024E0,8.000000000E2
2.647040416E-1,5.179624606E-1,2.422219058E-1,2.980020000E-3,1.600000024E0,8.000000000E2
2.688649576E-1,5.159551942E-1,2.402687506E-1,2.979425000E-3,1.600000024E0,8.000000000E2
2.730259577E-1,5.231305766E-1,2.476857703E-1,2.978563000E-3,1.600000024E0,8.000000000E2
2.771866667E-1,5.113811657E-1,2.355311003E-1,2.978139000E-3,1.600000024E0,8.000000000E2
2.813474997E-1,5.247462746E-1,2.494291988E-1,2.977217000E-3,1.600000024E0,8.000000000E2
2.855084577E-1,5.157819733E-1,2.404573536E-1,2.976629000E-3,1.600000024E0,8.000000000E2
2.896692917E-1,5.215931819E-1,2.464074738E-1,2.975825000E-3,1.600000024E0,8.000000000E2
2.938301667E-1,5.215603721E-1,2.465129804E-1,2.975023000E-3,1.600000024E0,8.000000000E2
2.979910416E-1,5.135307301E-1,2.382096882E-1,2.974519000E-3,1.600000024E0,8.000000000E2
3.021518747E-1,5.255011090E-1,2.505981494E-1,2.973570000E-3,1.600000024E0,8.000000000E2
3.063129997E-1,5.128945559E-1,2.378401024E-1,2.973090000E-3,1.600000024E0,8.000000000E2
3.104735826E-1,5.244796034E-1,2.496626125E-1,2.972180000E-3,1.600000024E0,8.000000000E2
3.146345417E-1,5.192386350E-1,2.443752056E-1,2.971465000E-3,1.600000024E0,8.000000000E2
3.187953327E-1,5.153289783E-1,2.403957885E-1,2.970895000E-3,1.600000024E0,8.000000000E2
3.229562076E-1,5.229695676E-1,2.483789628E-1,2.970041000E-3,1.600000024E0,8.000000000E2
3.271169997E-1,5.108095104E-1,2.359045331E-1,2.969639000E-3,1.600000024E0,8.000000000E2
3.312779577E-1,5.244207450E-1,2.499196886E-1,2.968732000E-3,1.600000024E0,8.000000000E2
3.354389167E-1,5.151471094E-1,2.404635116E-1,2.968169000E-3,1.600000024E0,8.000000000E2
3.395999577E-1,5.202588827E-1,2.458060509E-1,2.967417000E-3,1.600000024E0,8.000000000E2
3.437607076E-1,5.207374023E-1,2.463402817E-1,2.966647000E-3,1.600000024E0,8.000000000E2
3.479215417E-1,5.127152028E-1,2.380586512E-1,2.966175000E-3,1.600000024E0,8.000000000E2
3.520823747E-1,5.210579528E-1,2.467000985E-1,2.965394000E-3,1.600000024E0,8.000000000E2
3.562432497E-1,5.095237446E-1,2.350095356E-1,2.965040000E-3,1.600000024E0,8.000000000E2
